original_name,standard_name
Poecile rufescens,Poecile rufescens
Corvus corax,Corvus corax
Coccothraustes vespertinus,Coccothraustes vespertinus
Pipilo chlorurus,Pipilo chlorurus
Regulus satrapa,Regulus satrapa
Empidonax hammondii,Empidonax hammondii
Setophaga occidentalis,Setophaga occidentalis
Vireo huttoni,Vireo huttoni
Passerina amoena,Passerina amoena
Melospiza lincolnii,Melospiza lincolnii
Geothlypis tolmiei,Geothlypis tolmiei
Zenaida macroura,Zenaida macroura
Oreortyx pictus,Oreortyx pictus
Leiothlypis ruficapilla,Leiothlypis ruficapilla
Contopus cooperi,Contopus cooperi
Empidonax difficilis,Empidonax difficilis
Spinus pinus,Spinus pinus
Haemorhous purpureus,Haemorhous purpureus
Sitta canadensis,Sitta canadensis
Loxia curvirostra,Loxia curvirostra
Corthylio calendula,Corthylio calendula
Pipilo maculatus,Pipilo maculatus
Cyanocitta stelleri,Cyanocitta stelleri
Catharus ustulatus,Catharus ustulatus
Myadestes townsendi,Myadestes townsendi
Setophaga townsendi,Setophaga townsendi
Pooecetes gramineus,Pooecetes gramineus
Piranga ludoviciana,Piranga ludoviciana
Dryobates albolarvatus,Dryobates albolarvatus
Sphyrapicus thyroideus,Sphyrapicus thyroideus
Cardellina pusilla,Cardellina pusilla
